# r                      g(r)
2.500000000000000052e-03 0.000000000000000000e+00
7.499999999999999722e-03 0.000000000000000000e+00
1.249999999999999896e-02 0.000000000000000000e+00
1.749999999999999820e-02 0.000000000000000000e+00
2.249999999999999570e-02 0.000000000000000000e+00
2.749999999999999320e-02 0.000000000000000000e+00
3.249999999999999417e-02 0.000000000000000000e+00
3.749999999999999861e-02 0.000000000000000000e+00
4.249999999999999611e-02 0.000000000000000000e+00
4.749999999999999362e-02 0.000000000000000000e+00
5.249999999999999112e-02 0.000000000000000000e+00
5.749999999999999556e-02 0.000000000000000000e+00
6.249999999999999306e-02 0.000000000000000000e+00
6.749999999999999056e-02 0.000000000000000000e+00
7.249999999999999500e-02 0.000000000000000000e+00
7.749999999999998557e-02 0.000000000000000000e+00
8.249999999999999001e-02 0.000000000000000000e+00
8.749999999999999445e-02 0.000000000000000000e+00
9.249999999999998501e-02 0.000000000000000000e+00
9.749999999999998945e-02 0.000000000000000000e+00
1.024999999999999800e-01 0.000000000000000000e+00
1.074999999999999845e-01 0.000000000000000000e+00
1.124999999999999889e-01 0.000000000000000000e+00
1.174999999999999795e-01 0.000000000000000000e+00
1.224999999999999839e-01 0.000000000000000000e+00
1.274999999999999745e-01 0.000000000000000000e+00
1.324999999999999789e-01 0.000000000000000000e+00
1.374999999999999833e-01 0.000000000000000000e+00
1.424999999999999878e-01 0.000000000000000000e+00
1.474999999999999922e-01 0.000000000000000000e+00
1.524999999999999689e-01 0.000000000000000000e+00
1.574999999999999734e-01 0.000000000000000000e+00
1.624999999999999778e-01 0.000000000000000000e+00
1.674999999999999822e-01 0.000000000000000000e+00
1.724999999999999867e-01 0.000000000000000000e+00
1.774999999999999634e-01 0.000000000000000000e+00
1.824999999999999678e-01 0.000000000000000000e+00
1.874999999999999722e-01 0.000000000000000000e+00
1.924999999999999767e-01 0.000000000000000000e+00
1.974999999999999811e-01 0.000000000000000000e+00
2.024999999999999578e-01 0.000000000000000000e+00
2.074999999999999623e-01 0.000000000000000000e+00
2.124999999999999667e-01 0.000000000000000000e+00
2.174999999999999711e-01 0.000000000000000000e+00
2.224999999999999756e-01 0.000000000000000000e+00
2.274999999999999800e-01 0.000000000000000000e+00
2.324999999999999567e-01 0.000000000000000000e+00
2.374999999999999611e-01 0.000000000000000000e+00
2.424999999999999656e-01 0.000000000000000000e+00
2.474999999999999700e-01 0.000000000000000000e+00
2.524999999999999467e-01 0.000000000000000000e+00
2.574999999999999512e-01 0.000000000000000000e+00
2.624999999999999556e-01 0.000000000000000000e+00
2.674999999999999600e-01 0.000000000000000000e+00
2.724999999999999645e-01 0.000000000000000000e+00
2.774999999999999689e-01 0.000000000000000000e+00
2.824999999999999734e-01 0.000000000000000000e+00
2.874999999999999778e-01 0.000000000000000000e+00
2.924999999999999822e-01 0.000000000000000000e+00
2.974999999999999312e-01 0.000000000000000000e+00
3.024999999999999356e-01 0.000000000000000000e+00
3.074999999999999400e-01 0.000000000000000000e+00
3.124999999999999445e-01 0.000000000000000000e+00
3.174999999999999489e-01 0.000000000000000000e+00
3.224999999999999534e-01 0.000000000000000000e+00
3.274999999999999578e-01 0.000000000000000000e+00
3.324999999999999623e-01 0.000000000000000000e+00
3.374999999999999667e-01 0.000000000000000000e+00
3.424999999999999711e-01 0.000000000000000000e+00
3.474999999999999756e-01 0.000000000000000000e+00
3.524999999999999245e-01 0.000000000000000000e+00
3.574999999999999289e-01 0.000000000000000000e+00
3.624999999999999334e-01 0.000000000000000000e+00
3.674999999999999378e-01 0.000000000000000000e+00
3.724999999999999423e-01 0.000000000000000000e+00
3.774999999999999467e-01 0.000000000000000000e+00
3.824999999999999512e-01 0.000000000000000000e+00
3.874999999999999556e-01 0.000000000000000000e+00
3.924999999999999600e-01 0.000000000000000000e+00
3.974999999999999645e-01 0.000000000000000000e+00
4.024999999999999134e-01 0.000000000000000000e+00
4.074999999999999178e-01 0.000000000000000000e+00
4.124999999999999223e-01 0.000000000000000000e+00
4.174999999999999267e-01 0.000000000000000000e+00
4.224999999999999312e-01 0.000000000000000000e+00
4.274999999999999356e-01 0.000000000000000000e+00
4.324999999999999400e-01 0.000000000000000000e+00
4.374999999999999445e-01 0.000000000000000000e+00
4.424999999999999489e-01 0.000000000000000000e+00
4.474999999999999534e-01 0.000000000000000000e+00
4.524999999999999578e-01 0.000000000000000000e+00
4.574999999999999067e-01 0.000000000000000000e+00
4.624999999999999112e-01 0.000000000000000000e+00
4.674999999999999156e-01 0.000000000000000000e+00
4.724999999999999201e-01 0.000000000000000000e+00
4.774999999999999245e-01 0.000000000000000000e+00
4.824999999999999289e-01 0.000000000000000000e+00
4.874999999999999334e-01 0.000000000000000000e+00
4.924999999999999378e-01 0.000000000000000000e+00
4.974999999999999423e-01 0.000000000000000000e+00
5.024999999999999467e-01 0.000000000000000000e+00
5.074999999999998401e-01 0.000000000000000000e+00
5.124999999999998446e-01 0.000000000000000000e+00
5.174999999999998490e-01 0.000000000000000000e+00
5.224999999999998535e-01 0.000000000000000000e+00
5.274999999999998579e-01 0.000000000000000000e+00
5.324999999999998623e-01 0.000000000000000000e+00
5.374999999999998668e-01 0.000000000000000000e+00
5.424999999999998712e-01 0.000000000000000000e+00
5.474999999999998757e-01 0.000000000000000000e+00
5.524999999999998801e-01 0.000000000000000000e+00
5.574999999999998845e-01 0.000000000000000000e+00
5.624999999999998890e-01 0.000000000000000000e+00
5.674999999999998934e-01 0.000000000000000000e+00
5.724999999999998979e-01 0.000000000000000000e+00
5.774999999999999023e-01 0.000000000000000000e+00
5.824999999999999067e-01 0.000000000000000000e+00
5.874999999999999112e-01 0.000000000000000000e+00
5.924999999999998046e-01 0.000000000000000000e+00
5.974999999999998090e-01 0.000000000000000000e+00
6.024999999999998135e-01 0.000000000000000000e+00
6.074999999999998179e-01 0.000000000000000000e+00
6.124999999999998224e-01 0.000000000000000000e+00
6.174999999999998268e-01 0.000000000000000000e+00
6.224999999999998312e-01 0.000000000000000000e+00
6.274999999999998357e-01 0.000000000000000000e+00
6.324999999999998401e-01 0.000000000000000000e+00
6.374999999999998446e-01 0.000000000000000000e+00
6.424999999999998490e-01 0.000000000000000000e+00
6.474999999999998535e-01 0.000000000000000000e+00
6.524999999999998579e-01 0.000000000000000000e+00
6.574999999999998623e-01 0.000000000000000000e+00
6.624999999999998668e-01 0.000000000000000000e+00
6.674999999999998712e-01 0.000000000000000000e+00
6.724999999999998757e-01 0.000000000000000000e+00
6.774999999999998801e-01 0.000000000000000000e+00
6.824999999999998845e-01 0.000000000000000000e+00
6.874999999999998890e-01 0.000000000000000000e+00
6.924999999999998934e-01 0.000000000000000000e+00
6.974999999999997868e-01 0.000000000000000000e+00
7.024999999999997913e-01 0.000000000000000000e+00
7.074999999999997957e-01 0.000000000000000000e+00
7.124999999999998002e-01 0.000000000000000000e+00
7.174999999999998046e-01 0.000000000000000000e+00
7.224999999999998090e-01 0.000000000000000000e+00
7.274999999999998135e-01 0.000000000000000000e+00
7.324999999999998179e-01 0.000000000000000000e+00
7.374999999999998224e-01 0.000000000000000000e+00
7.424999999999998268e-01 0.000000000000000000e+00
7.474999999999998312e-01 0.000000000000000000e+00
7.524999999999998357e-01 0.000000000000000000e+00
7.574999999999998401e-01 0.000000000000000000e+00
7.624999999999998446e-01 0.000000000000000000e+00
7.674999999999998490e-01 0.000000000000000000e+00
7.724999999999998535e-01 0.000000000000000000e+00
7.774999999999998579e-01 0.000000000000000000e+00
7.824999999999998623e-01 0.000000000000000000e+00
7.874999999999998668e-01 0.000000000000000000e+00
